2026/07/16 15:31:55.591, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:56.117, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:56.641, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:57.166, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:57.691, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:58.215, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 95 %
2026/07/16 15:31:58.739, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:59.263, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:31:59.788, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:32:00.312, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:32:00.836, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:32:01.361, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:32:01.886, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:32:02.410, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:32:02.934, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:32:03.459, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:32:03.984, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:32:04.509, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:32:05.035, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 95 %
2026/07/16 15:32:05.559, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:32:06.083, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:32:06.607, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
2026/07/16 15:32:07.132, NVIDIA GeForce RTX 3090, 12988 MiB, 24576 MiB, 100 %
